operator_id,incoming_calls,missed_calls,wait_seconds,missed_rate,avg_wait_sec,outgoing_calls,tariff_plan,high_missed_rate,high_wait,low_outbound,incoming_risk,outbound_signal
905300,25.0,6.0,552.0,0.24,22.08,0.0,C,True,True,True,True,True
944226,180.0,28.0,7679.0,0.15555555555555556,42.66111111111111,109.0,B,True,True,False,True,False
911102,27.0,3.0,822.0,0.1111111111111111,30.444444444444443,0.0,C,True,True,True,True,True
911142,20.0,2.0,923.0,0.1,46.15,0.0,C,True,True,True,True,True
944222,185.0,15.0,6267.0,0.08108108108108109,33.87567567567567,344.0,B,True,True,False,True,False
944216,235.0,16.0,8368.0,0.06808510638297872,35.60851063829787,133.0,B,True,True,False,True,False
944220,265.0,17.0,9558.0,0.06415094339622641,36.06792452830189,221.0,B,True,True,False,True,False
944218,245.0,14.0,8996.0,0.05714285714285714,36.71836734693878,164.0,B,True,True,False,True,False
924930,21.0,1.0,460.0,0.047619047619047616,21.904761904761905,224.0,A,True,True,False,True,False
937368,22.0,1.0,531.0,0.045454545454545456,24.136363636363637,10.0,B,True,True,True,True,True
900746,26.0,1.0,611.0,0.038461538461538464,23.5,49.0,C,True,True,True,True,True
900194,55.0,2.0,1179.0,0.03636363636363636,21.436363636363637,43.0,B,True,True,True,True,True
934430,28.0,1.0,774.0,0.03571428571428571,27.642857142857142,0.0,C,True,True,True,True,True
902910,28.0,1.0,736.0,0.03571428571428571,26.285714285714285,0.0,C,True,True,True,True,True
884408,35.0,1.0,924.0,0.02857142857142857,26.4,25.0,B,True,True,True,True,True
911140,70.0,2.0,1840.0,0.02857142857142857,26.285714285714285,0.0,C,True,True,True,True,True
935958,35.0,1.0,779.0,0.02857142857142857,22.257142857142856,0.0,C,True,True,True,True,True
938414,93.0,2.0,2147.0,0.021505376344086023,23.086021505376344,46.0,C,True,True,True,True,True
920902,48.0,1.0,2126.0,0.020833333333333332,44.291666666666664,17.0,B,True,True,True,True,True
924960,54.0,1.0,1180.0,0.018518518518518517,21.85185185185185,230.0,A,True,True,False,True,False
923528,119.0,2.0,2877.0,0.01680672268907563,24.176470588235293,638.0,C,True,True,False,True,False
902510,122.0,2.0,4107.0,0.01639344262295082,33.66393442622951,1842.0,B,True,True,False,True,False
888534,61.0,1.0,1756.0,0.01639344262295082,28.78688524590164,315.0,A,True,True,False,True,False
907982,66.0,1.0,1428.0,0.015151515151515152,21.636363636363637,87.0,B,True,True,False,True,False
882690,171.0,2.0,7102.0,0.011695906432748537,41.53216374269006,1417.0,B,True,True,False,True,False
908960,695.0,8.0,16264.0,0.011510791366906475,23.401438848920865,113.0,A,True,True,False,True,False
921306,398.0,4.0,8417.0,0.010050251256281407,21.14824120603015,542.0,C,True,True,False,True,False
906410,232.0,2.0,6035.0,0.008620689655172414,26.012931034482758,19.0,A,True,True,True,True,True
906408,241.0,2.0,6912.0,0.008298755186721992,28.680497925311204,87.0,A,True,True,False,True,False
